Node Name,Op Type,Activation,Weights,Bias
/model.24/cv3.1/cv3.1.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.23/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.23/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv2.1/cv2.1.1/act/Mul,Mul,UINT8,,
/model.24/cv3.1/cv3.1.1/act/Mul,Mul,UINT8,,
/model.23/cv1/act/Mul,Mul,UINT8,,
/model.23/cv2/act/Mul,Mul,UINT8,,
/model.24/cv2.1/cv2.1.2/Conv,Conv,UINT8,INT8,INT8
/model.24/cv3.1/cv3.1.2/Conv,Conv,UINT8,INT8,INT8
/model.23/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/Concat_1,Concat,UINT8,,
/model.23/m/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/Reshape_1,Reshape,UINT8,,
/model.23/m/m.0/cv1/act/Mul,Mul,UINT8,,
/model.23/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.23/m/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.23/m/m.0/cv2/act/Mul,Mul,UINT8,,
/model.23/Concat,Concat,UINT8,,
/model.23/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.23/cv3/act/Sigmoid,HardSigmoid,UINT8,,
/model.23/cv3/act/Mul,Mul,UINT8,,
/model.24/cv2.2/cv2.2.0/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv3.2/cv3.2.0/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv2.2/cv2.2.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv3.2/cv3.2.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv2.2/cv2.2.0/act/Mul,Mul,UINT8,,
/model.24/cv3.2/cv3.2.0/act/Mul,Mul,UINT8,,
/model.24/cv2.2/cv2.2.1/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv3.2/cv3.2.1/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv2.2/cv2.2.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv3.2/cv3.2.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv2.2/cv2.2.1/act/Mul,Mul,UINT8,,
/model.24/cv3.2/cv3.2.1/act/Mul,Mul,UINT8,,
/model.24/cv2.2/cv2.2.2/Conv,Conv,UINT8,INT8,INT8
/model.24/cv3.2/cv3.2.2/Conv,Conv,UINT8,INT8,INT8
/model.24/Concat_2,Concat,UINT8,,
/model.24/Reshape_2,Reshape,UINT8,,
/model.24/Concat_3,Concat,UINT8,,
/model.24/Split_output_0_0,Slice,UINT8,,
/model.24/Split_output_1_1,Slice,UINT8,,
/model.24/dfl/Reshape,Reshape,UINT8,,
/model.24/Sigmoid,HardSigmoid,UINT8,,
/model.24/dfl/Transpose,Transpose,UINT8,,
/model.24/dfl/Softmax,Softmax,UINT8,,
/model.24/dfl/conv/Conv,Conv,UINT8,INT8,
/model.24/dfl/Reshape_1,Reshape,UINT8,,
/model.24/Slice,Slice,UINT8,,
/model.24/Slice_1,Slice,UINT8,,
/model.24/Sub,Sub,INT8,,
/model.24/Add_1,Add,INT8,,
/model.24/Add_2,Add,UINT8,,
/model.24/Sub_1,Sub,UINT8,,
/model.24/Div_1,Div,UINT8,,
/model.24/Concat_4,Concat,UINT8,,
/model.24/Mul_2,Mul,UINT8,,
/model.24/Concat_5,Concat,UINT8,,

Op Type,Activation,Weights,Bias
Conv,UINT8(76),INT8(76),INT8(75)
HardSigmoid,UINT8(70),,
Mul,UINT8(70),,
Add,INT8(1) UINT8(8),,
Concat,UINT8(19),,
MaxPool,UINT8(3),,
Resize,UINT8(2),,
Reshape,UINT8(5),,
Slice,UINT8(4),,
Transpose,UINT8(1),,
Softmax,UINT8(1),,
Sub,INT8(1) UINT8(1),,
Div,UINT8(1),,
